# name,# catalog-job 2021-10-09
# SQL,"# -- Simple area search based on the range of RA and Dec getting all object
# -- with i band Kron magnitudes smaller than 25.5, and in the area in
# -- the range RA J2000 between 34.0 and 36.0 degrees and Dec J2000 -5.0
# -- and -4.5 degrees.
# 
# -- WARNING:
# --   --> Remove 'LIMIT 10' for your query
# --   --> Edit the schema name 'pdr3_dud' for your query.
# 
# SELECT
#     object_id
#       , ra
#       , dec
# 	  , tract
# 	  , patch
#       , i_kronflux_mag
#       , i_kronflux_magerr
#       , y_kronflux_mag
#       , y_kronflux_magerr
#       , i_kronflux_mag - y_kronflux_mag AS i_y
#     FROM
#     pdr3_dud.forced
#     JOIN pdr3_dud.forced2 USING (object_id)
#     WHERE
#     isprimary
#     AND boxSearch(coord, 34.0, 36.0, -5.0, -4.5)
#           /* is equivalent to
37489932008193419,35.1105798077815,-4.9870496449713215,8524,705,22.6822243,0.0204575937,23.1177521,0.113531917,-0.435527802
37489932008193421,35.110348134692394,-4.987483261940617,8524,705,24.5011864,0.0298059117,22.7000237,0.0213314798,1.80116272
37489932008193429,35.11068372737007,-4.9860676867504905,8524,705,24.3466988,0.0157577172,25.7645855,0.214595675,-1.41788673
37489932008193436,35.11033586045924,-4.983505877492253,8524,705,25.2959652,0.0561349243,25.477684,0.247266054,-0.181718826
37489932008193713,35.11059823377258,-4.991581698752534,8524,705,25.2605152,0.0480343923,25.1782837,0.167504489,0.0822315216
37489932008195165,35.11009207383668,-4.976368699035624,8524,705,23.930624,0.022971563,23.7907963,0.0759982392,0.139827728
37489932008195167,35.11035319652526,-4.977597327780694,8524,705,24.6744003,0.058937192,24.9311008,0.280707181,-0.256700516
37489932008195171,35.10967630635335,-4.975855424332406,8524,705,23.5240059,0.0687159598,22.8614216,0.139935806,0.662584305
37489932008196743,35.108095402946184,-4.9604735872798065,8524,705,23.1065712,0.00757599948,22.7518063,0.0199750755,0.354764938
37489932008196744,35.107805923926406,-4.956272664790231,8524,705,23.2342758,0.00901809148,21.829155,0.00902088825,1.40512085
37489932008196750,35.10904319453311,-4.956548567479771,8524,705,23.9662533,0.0233319532,23.6375141,0.0637134016,0.328739166
37489932008196755,35.10796368140189,-4.9600166398876055,8524,705,23.4441681,0.0526841842,22.6538105,0.0937335268,0.79035759
37489932008196760,35.10945782245567,-4.963723404091357,8524,705,25.473362,0.0629577413,24.7448769,0.118885688,0.728485107
37489932008196765,35.10805910588562,-4.957370315052281,8524,705,25.2462921,0.0750679448,23.7433014,0.0697266757,1.50299072
37489932008197109,35.10895835652375,-4.961684938568298,8524,705,24.1277485,0.0167263485,23.6340904,0.0390193388,0.493658066
37489932008198254,35.10831283485756,-4.950569252289084,8524,705,19.8447895,0.000309093099,19.2061882,0.000594276877,0.638601303
37489932008198256,35.10739246675805,-4.95204718686027,8524,705,23.7497082,0.0168374125,22.9576645,0.0302229971,0.792043686
37489932008198258,35.107537273165846,-4.951203809936627,8524,705,23.8932495,0.0223775618,23.3621769,0.0511178933,0.531072617
37489932008198260,35.1082431020821,-4.9523048359250605,8524,705,24.155138,0.0292115603,23.4438553,0.056576822,0.71128273
37489932008198527,35.10715203571103,-4.949334505371968,8524,705,25.120945,0.113741152,24.4067726,0.216578752,0.714172363
37489932008199825,35.10725334850674,-4.938674747445076,8524,705,24.7828369,0.0524499156,24.6497555,0.173487127,0.133081436
37489932008199829,35.10788212579102,-4.939103020862186,8524,705,23.6914272,0.0647624657,22.8761902,0.113638945,0.815237045
37489932008199905,35.10693493552387,-4.935875488180157,8524,705,23.9943962,0.021936601,23.2904205,0.0426852927,0.703975677
37489932008199920,35.10701429148682,-4.935144981947637,8524,705,25.2860985,0.0728541613,24.0147133,0.0834633335,1.27138519
37489932008200981,35.10709960760919,-4.928313943705473,8524,705,24.315218,0.0384112448,24.3329887,0.13776347,-0.0177707672
37489932008200982,35.107193675467755,-4.928949479804416,8524,705,25.0193062,0.0928508192,24.4729614,0.200812072,0.546344757
37489932008170558,35.111857654241284,-4.927880301879072,8524,705,24.6846809,0.0314394683,24.2739868,0.0812612846,0.410694122
